WILAYAH,Persentase_Penduduk_Miskin,Tingkat_Pengangguran_Terbuka,Jumlah_Penduduk,IPM
Simeulue,18.49,5.47,95304,66.03
Aceh Singkil,20.2,8.24,123842,68.94
Aceh Selatan,12.87,6.54,242196,67.12
Aceh Tenggara,13.21,5.72,216264,69.37
Aceh Timur,14.08,7.26,436086,67.63
Aceh Tengah,15.08,3.05,212120,73.24
Aceh Barat,18.34,7.3,209500,71.38
Aceh Besar,13.84,7.62,424433,73.56
Pidie,19.23,6.45,447875,70.63
Bireuen,13.06,4.12,470554,72.28
Aceh Utara,17.02,8.56,622765,69.33
Aceh Barat Daya,15.93,3.93,151826,66.75
Gayo Lues,19.32,2.01,93945,67.22
Aceh Tamiang,13.08,7.97,297389,69.24
Nagan Raya,17.7,5.11,166795,69.18
Aceh Jaya,12.87,4.08,94382,69.75
Bener Meriah,18.89,1.35,148157,72.98
Pidie Jaya,19.19,6.58,160866,73.2
Kota Banda Aceh,6.9,9.54,272202,85.41
Kota Sabang,14.94,4.81,34589,75.78
Kota Langsa,10.44,9.75,178667,77.17
Kota Lhokseumawe,10.8,11.99,207242,77.31
Kota Subulussalam,17.6,6.93,81094,64.93
Nias,16.6,3.49,143983,61.65
Mandailing Natal,9.18,6.5,451028,66.52
Tapanuli Selatan,8.47,4.42,283389,69.75
Tapanuli Tengah,12.38,7.54,382917,68.86
Tapanuli Utara,9.37,2.94,303688,73.33
Toba Samosir,8.71,2.5,184493,74.92
Labuhan Batu,8.44,6.05,501596,71.94
Asahan,9.04,7.24,735026,69.92
Simalungun,8.46,4.58,871678,72.98
Dairi,8.04,1.75,285481,71.42
Karo,8.7,1.83,421997,74.25
Deli Serdang,3.88,9.5,2234320,75.43
Langkat,9.73,7.02,1048100,70.76
Nias Selatan,16.74,4.15,322520,61.59
Humbang Hasundutan,9.36,0.84,191776,68.83
Pakpak Bharat,9.28,1.93,49688,67.47
Samosir,12.48,1.2,126710,70.55
Serdang Bedagai,7.97,5.54,617772,70.21
Batu Bara,11.88,6.48,420103,68.35
Padang Lawas Utara,9.7,3.11,277423,69.29
Padang Lawas,8.37,4.11,286627,68.16
Labuhan Batu Selatan,8.34,4.9,344819,71.39
Labuhan Batu Utara,9.53,6.82,366603,71.43
Nias Utara,25.07,4.54,138800,61.98
Nias Barat,25.69,1.71,82425,61.14
Kota Sibolga,11.95,8,87791,73.41
Kota Tanjung Balai,13.33,6.97,177005,68.51
Kota Pematang Siantar,8.27,11.5,257110,78.57
Kota Tebing Tinggi,9.85,9.98,166100,75.08
Kota Medan,8.01,10.74,2295003,80.97
Kota Binjai,5.71,8.67,279302,75.89
Kota Padangsidimpuan,7.4,7.45,224483,75.06
Kota Gunungsitoli,16.41,5.94,143776,69.3
Kepulauan Mentawai,14.35,3.98,87623,61.09
Pesisir Selatan,7.61,7,504418,69.9
Solok,7.81,4.65,391497,69.08
Sijunjung,6.78,5.3,235045,67.74
Tanah Datar,4.4,4.79,371704,72.33
Padang Pariaman,6.95,8.13,430626,70.61
Agam,6.75,4.61,529138,72.46
Lima Puluh Kota,6.86,3.03,383525,69.47
Pasaman,7.16,5.04,299851,66.64
Solok Selatan,7.15,5.62,182027,69.04
Dharmasraya,6.23,5.31,228591,71.51
Pasaman Barat,7.04,4.69,431672,68.49
Kota Padang,4.4,13.64,909040,82.82
Kota Solok,2.77,8.35,73438,78.29
Kota Sawah Lunto,2.16,8.2,65138,72.64
Kota Padang Panjang,5.24,7.22,56311,77.93
Kota Bukittinggi,4.54,7.51,121028,80.58
Kota Payakumbuh,5.65,6.68,139576,78.9
Kota Pariaman,4.1,5.73,94224,76.9
Lampung Barat,12.52,2.13,304874,67.8
Tanggamus,11.68,2.96,603706,66.42
Lampung Selatan,14.08,5.19,1019789,68.36
Lampung Timur,14.62,2.64,1051994,69.37
Lampung Tengah,11.82,4.22,1290407,70.16
Lampung Utara,19.3,5.34,618818,67.67
Way Kanan,12.9,3.56,453921,67.44
Tulangbawang,9.33,4.84,455891,68.52
Pesawaran,14.76,4.64,448410,65.79
Pringsewu,9.97,5.77,403115,70.3
Mesuji,7.33,3.71,200999,63.63
Tulang Bawang Barat,7.39,3.46,274905,65.97
Pesisir Barat,14.29,3.41,155883,63.91
Kota Bandar Lampung,8.81,8.79,1068982,77.44
Kota Metro,8.47,5.4,169507,77.19
Bangka,4.51,5.42,343821,72.39
Belitung,6.27,4.82,193493,72.46
Bangka Barat,2.7,4.12,217332,69.05
Bangka Tengah,4.85,5.59,200016,70.33
Bangka Selatan,3.52,5.42,213966,66.54
Belitung Timur,6.52,3.93,132069,70.84
Kota Pangkal Pinang,4.36,6.93,216893,77.97
Karimun,6.83,8.36,253457,71.1
Bintan,6.36,8.86,159518,73.98
Natuna,4.43,4.1,81495,72.63
Lingga,13.85,4.41,98633,64.98
Kepulauan Anambas,6.56,3.44,47402,68.48
Kota Batam,4.75,11.79,1196396,81.09
Kota Tanjung Pinang,9.37,9.3,227663,78.73
Kepulauan Seribu,14.87,7.37,27749,71.63
Kota Jakarta Selatan,3.43,10.79,2226812,84.72
Kota Jakarta Timur,4.16,9.29,3037139,82.66
Kota Jakarta Pusat,4.51,10.97,1056896,81.39
Kota Jakarta Barat,4.25,12.27,2434511,81.38
Kota Jakarta Utara,6.78,11.79,1778981,80.29
Bogor,7.69,14.29,6088233,70.4
Sukabumi,7.09,9.6,2470219,66.88
Cianjur,10.36,11.05,2264328,65.36
Bandung,6.91,8.58,3831505,72.39
Garut,9.98,8.95,2636637,66.12
Tasikmalaya,10.34,7.12,1755710,65.67
Ciamis,7.62,5.66,1201685,70.49
Kuningan,12.82,11.22,1087105,69.38
Cirebon,11.24,11.52,2209633,68.75
Majalengka,11.43,5.84,1210709,67.59
Sumedang,10.26,9.89,1154428,71.64
Indramayu,12.7,9.21,1737624,67.29
Subang,9.31,9.48,1612576,68.95
Purwakarta,8.27,11.07,971889,70.82
Karawang,8.26,11.52,2370488,70.66
Bekasi,4.82,11.54,3899017,74.07
Bandung Barat,10.49,12.25,1714982,68.08
Pangandaran,8.99,5.08,401493,68.06
Kota Bogor,6.68,12.68,1126927,76.11
Kota Sukabumi,7.7,12.17,330691,74.21
Kota Bandung,3.99,11.19,2510103,81.51
Kota Cirebon,9.52,10.97,322322,74.89
Kota Bekasi,4.38,10.68,3075690,81.5
Kota Depok,2.45,9.87,2484186,80.97
Kota Cimahi,5.11,13.3,620393,77.83
Kota Tasikmalaya,12.97,7.99,663986,73.04
Kota Banjar,6.09,6.73,183299,71.7
Cilacap,11.46,9.1,1944857,69.95
Banyumas,13.26,6,1776918,71.98
Purbalingga,15.9,6.1,998561,68.97
Banjarnegara,15.64,5.86,1017767,67.45
Kebumen,17.59,6.07,1350438,69.81
Purworejo,11.78,4.04,769880,72.68
Wonosobo,17.36,5.37,879124,68.22
Magelang,11.27,4.27,1299859,69.87
Boyolali,10.18,5.28,1062713,74.25
Klaten,12.89,5.46,1260506,75.56
Sukoharjo,7.68,6.93,907587,76.98
Wonogiri,10.86,4.27,1043177,70.25
Karanganyar,10.28,5.96,931963,75.86
Sragen,13.38,4.75,976951,73.95
Grobogan,12.46,4.5,1453526,69.87
Blora,11.96,4.89,884333,68.84
Rembang,15.6,4.83,645333,70.02
Pati,10.08,4.74,1324188,71.77
Kudus,7.31,5.53,849184,75
Jepara,7.17,6.7,1184947,71.99
Demak,12.54,7.31,1203956,72.22
Semarang,7.51,4.57,1053094,74.1
Temanggung,9.96,3.85,790174,69.57
Kendal,9.99,7.56,1018505,72.29
Batang,9.13,6.92,801718,68.65
Pekalongan,10.19,6.97,968821,69.63
Pemalang,16.02,7.64,1471489,66.32
Tegal,8.14,9.82,1596996,68.39
Brebes,17.03,9.83,1978759,66.11
Kota Magelang,7.58,8.59,121526,78.99
Kota Surakarta,9.03,7.92,522364,82.21
Kota Salatiga,4.94,7.44,192322,83.14
Kota Semarang,4.34,9.57,1653524,83.05
Kota Pekalongan,7.17,7.02,307150,74.98
Kota Tegal,7.8,8.4,273825,75.07
Kulon Progo,18.01,3.71,434 483,74.46
Bantul,13.5,4.06,1 029 997,80.01
Gunung Kidul,17.07,2.16,749 274,69.98
Sleman,8.12,5.09,1 232 598,83.84
Kota Yogyakarta,7.27,9.16,435 936,86.61
Pacitan,14.54,2.28,586110,68.39
Ponorogo,9.95,4.45,949318,70.81
Trenggalek,11.62,4.11,731125,69.74
Tulungagung,7.33,4.61,1089775,73
Blitar,9.33,3.82,1223745,70.58
Kediri,11.4,5.24,1635294,72.05
Malang,10.15,5.49,2654448,70.36
Lumajang,9.83,3.36,1119251,65.46
Jember,10.09,5.12,2536729,67.11
Banyuwangi,8.06,5.34,1708114,70.62
Bondowoso,14.17,4.13,776151,66.43
Situbondo,12.22,3.85,685967,67.38
Probolinggo,18.61,4.86,1152537,66.07
Pasuruan,9.26,6.24,1605969,68.6
Sidoarjo,5.59,10.97,2082801,80.29
Mojokerto,10.57,5.75,1119209,73.83
Jombang,9.94,7.48,1318062,72.97
Nganjuk,11.62,4.8,1103902,71.72
Madiun,11.46,4.8,744350,71.73
Magetan,10.35,3.74,670812,73.92
Ngawi,15.44,5.44,870057,70.54
Bojonegoro,12.87,4.92,1301635,69.04
Tuban,15.91,4.81,1198012,68.4
Lamongan,13.85,5.13,1344165,72.58
Gresik,12.4,8.21,1311215,76.11
Bangkalan,20.56,8.77,1060377,64.11
Sampang,22.78,3.35,969694,62.7
Pamekasan,14.6,3.49,850057,66.26
Sumenep,20.18,2.84,1124436,66.43
Kota Kediri,7.69,6.21,286796,78.23
Kota Blitar,7.78,6.68,149149,78.57
Kota Malang,4.44,9.61,843810,81.45
Kota Probolinggo,7.43,6.7,239649,73.27
Kota Pasuruan,6.66,6.33,208006,75.26
Kota Mojokerto,6.24,6.74,132434,78.04
Kota Madiun,4.98,8.32,195175,80.91
Kota Surabaya,5.02,9.79,2874314,82.23
Kota Batu,3.89,5.93,213046,75.9
Pandeglang,9.92,9.15,1272687,65
Lebak,9.24,9.63,1386793,63.91
Tangerang,6.23,13.06,3245619,71.92
Serang,4.94,12.22,1622630,66.7
Kota Tangerang,5.22,8.63,1895486,78.25
Kota Cilegon,3.69,12.69,434896,73.05
Kota Serang,6.06,9.26,692101,72.16
Kota Tangerang Selatan,2.29,8.48,1354350,81.36
Jembrana,4.51,4.52,317.064,72.36
Tabanan,4.27,4.21,461630,76.17
Badung,2.02,6.92,548.191,81.6
Gianyar,4.08,7.53,515.344,77.36
Klungkung,4.87,5.42,206.925,71.73
Bangli,4.19,1.86,258.721,69.36
Karang Asem,5.91,2.42,492.402,67.35
Buleleng,5.32,5.19,791.813,72.55
Kota Denpasar,2.14,7.62,725.314,83.93
Lombok Barat,14.28,4.58,721481,68.2
Lombok Tengah,13.44,3.74,1034859,66.43
Lombok Timur,15.24,4.17,1325240,66.3
Sumbawa,13.65,4.01,509753,67.61
Dompu,12.16,3.28,236665,67.84
Bima,14.49,2.89,514105,66.3
Sumbawa Barat,13.34,5.5,145798,71.63
Lombok Utara,26.99,3.01,247400,64.42
Kota Mataram,8.47,6.83,429651,78.91
Kota Bima,8.35,4.42,155140,75.81
Sumba Barat,28.17,3.96,131600,63.53
Sumba Timur,29.65,3.49,261503,65.52
Kupang,22.77,4.9,421618,64.32
Timor Tengah Selatan,27.49,2.63,469673,62.15
Timor Tengah Utara,22.28,4.26,256299,63.53
Belu,15.37,7.42,223176,62.68
Alor,21.09,3.11,206806,61.33
Lembata,26.14,4.88,145685,64.74
Flores Timur,10.84,3.16,257785,64.22
Sikka,13.12,4,321790,65.11
Ende,23.76,2.95,274599,67.04
Ngada,12.51,4.69,165314,67.88
Manggarai,20.34,4.09,342908,64.54
Rote Ndao,27.54,4.9,178805,62.39
Manggarai Barat,17.71,3.72,280412,63.89
Sumba Tengah,34.49,4.02,73820,61.53
Sumba Barat Daya,28,2.36,350923,62.28
Nagekeo,12.61,3.09,147189,65.81
Manggarai Timur,26.52,2.1,289836,60.85
Sabu Raijua,30.18,3.08,100684,57.02
Malaka,16.04,3.63,194776,60.21
Kota Kupang,8.96,10.9,446193,79.71
Sambas,7.7,3.71,629905,67.03
Bengkayang,6.62,3.91,286366,67.87
Landak,11.12,3.38,397610,65.98
Pontianak,4.95,7.55,301560,65.74
Sanggau,4.46,3.52,484836,65.77
Ketapang,10.29,7.3,570657,67.17
Sintang,9.27,4.5,421306,66.88
Kapuas Hulu,8.99,4.02,252609,65.69
Sekadau,5.87,3.39,211559,64.76
Melawi,12.04,2.7,228270,65.55
Kayong Utara,9.56,3.71,126571,62.68
Kubu Raya,4.42,7.14,609392,67.95
Kota Pontianak,4.7,12.36,658685,79.44
Kota Singkawang,4.53,8.78,235064,71.94
Kotawaringin Barat,3.59,4.76,270388,72.87
Kotawaringin Timur,5.62,5.25,428895,71.31
Kapuas,5.04,4.98,410446,69.48
Barito Selatan,4.45,4.21,131140,70.22
Barito Utara,5.17,5.29,154812,70.59
Sukamara,3.23,4.7,63464,68.03
Lamandau,3.09,2.83,97611,70.51
Seruyan,6.85,4.3,162906,67.58
Katingan,4.79,5.69,162222,68.68
Pulang Pisau,4.09,2.63,134499,68.45
Gunung Mas,4.75,2.49,135373,70.81
Barito Timur,6.09,2.91,113229,71.39
Murung Raya,5.85,3.1,111527,67.98
Kota Palangka Raya,3.44,5.95,293457,80.77
Tanah Laut,4.26,3.57,348623,69.38
Kota Baru,4.22,4.96,347399,68.86
Banjar,2.55,3.87,596001,69.18
Barito Kuala,4.51,2.93,317181,66.22
Tapin,3.06,3.73,193635,70.11
Hulu Sungai Selatan,5.17,2.24,240279,68.85
Hulu Sungai Tengah,5.64,3.9,275213,68.84
Hulu Sungai Utara,6.14,4.49,240494,65.59
Tabalong,5.72,3.07,257794,72.19
Tanah Bumbu,4.6,6.95,368362,70.71
Balangan,5.32,2.46,133274,68.82
Kota Banjarmasin,4.39,8.32,715703,77.1
Kota Banjar Baru,4.01,5.54,270021,79.1
Paser,9.23,4.52,275452,72.04
Kutai Barat,9.29,4.97,172288,71.19
Kutai Kartanegara,7.31,5.7,729382,73.59
Kutai Timur,9.55,5.45,434459,73
Berau,5.19,5.08,248035,74.71
Penajam Paser Utara,7.36,6.22,178681,71.41
Mahakam Hulu,11.44,3.49,32513,67.09
Kota Balikpapan,2.57,9,688318,80.01
Kota Samarinda,4.76,8.26,827994,80.11
Kota Bontang,4.38,9.46,178917,80.02
Malinau,6.63,5.08,82500,71.94
Bulungan,9.06,4.45,151800,71.1
Tana Tidung,4.81,4.83,25600,66.97
Nunukan,6.36,4.14,199100,65.79
Kota Tarakan,6.24,5.86,242800,75.83
Bolaang Mongondow,7.27,4.87,248751,67.89
Minahasa,7.3,6.3,347290,75.29
Kepulauan Sangihe,11.14,4.91,139262,70.73
Kepulauan Talaud,9.49,2.64,94521,69.4
Minahasa Selatan,9.14,5.01,236463,72.11
Minahasa Utara,7,7.88,224993,73.9
Bolaang Mongondow Utara,8.41,5.48,83112,66.99
Siau Tagulandang Biaro,8.94,3.31,71817,67.64
Minahasa Tenggara,12.3,3.31,116323,70.51
Bolaang Mongondow Selatan,12.77,4.39,69791,65
Bolaang Mongondow Timur,5.88,6.13,88241,65.99
Kota Manado,5.86,13.88,451916,78.93
Kota Bitung,6.41,10.23,225134,74.1
Kota Tomohon,5.6,8.99,100587,76.69
Kota Kotamobagu,5.42,7.44,123722,72.97
Banggai Kepulauan,14.04,2.47,120142,65.42
Banggai,7.39,2.42,362275,70.52
Morowali,13.43,5.21,161727,72.21
Poso,15.45,2.39,244875,71.28
Donggala,17.39,2.58,300436,65.56
Toli-Toli,12.85,3.74,225154,65.56
Buol,13.93,4.36,145254,67.82
Parigi Moutong,15.85,2.7,440015,65.44
Tojo Una-Una,16.39,2.84,163829,64.59
Sigi,12.45,3.36,257585,68.12
Banggai Laut,14.6,3.09,70435,65.43
Morowali Utara,14.1,5.16,120789,65.43
Kota Palu,6.8,8.38,373218,81.47
Buton,13.21,4.78,103869,65.98
Muna,12.83,6.45,227289,69.02
Konawe,12.2,5.42,260411,71.35
Kolaka,11.63,5.29,266069,73.45
Konawe Selatan,10.74,2.58,319291,68.2
Bombana,10.01,2.74,189269,66.05
Wakatobi,14.31,4.18,96111,69.48
Kolaka Utara,12.96,2.13,153669,69.31
Buton Utara,14.1,4.11,64993,67.87
Konawe Utara,13.53,3.79,65183,69.86
Kolaka Timur,13.47,3.29,135569,67.02
Konawe Kepulauan,17.01,1.55,34666,65.41
Muna Barat,13.3,3.36,82785,65.08
Buton Tengah,15.32,4.22,94207,64.37
Buton Selatan,14.11,3.9,81752,64.93
Kota Kendari,4.34,7.08,404232,83.53
Kota Baubau,7.15,6.57,176224,75.9
Fakfak,22.27,11.45,79870,68.36
Kaimana,15.5,6.9,61820,65
Teluk Wondama,30.91,4.43,33234,60.21
Teluk Bintuni,29.39,8.58,65705,64.55
Manokwari,20.14,7.47,179384,72.01
Sorong Selatan,18.28,3.69,47875,62.42
Sorong,27.48,3.29,91134,65.74
Raja Ampat,17.01,2.73,49083,63.89
Tambrauw,32.8,2.46,14021,53.45
Maybrat,30.78,2.26,41798,59.52
Manokwari Selatan,28.88,2.43,24679,59.84
Pegunungan Arfak,33.81,1.62,31793,56.33
Kota Sorong,14.99,9.93,261426,78.45